번호,실행시각,차량번호,보험시작일,운전자범위,보험사,CM보험료,총보험료(결제),마일리지환급,원문텍스트,제조사,차종,연식,상세모델,트림,아이디,나이,성별
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,AXA,"1,244,160","1,800,460","556,300","AXA손해보험 | 다이렉트 자동차보험 | 최종 보험료 | 1,244,160원 | 총 보험료 | 결제 1,800,460원 | 마일리지 환급 556,300원 | 마일리지 선할인 546,570원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,DB손해보험,"1,080,490","1,401,350","320,860","DB손해보험 | 프로미카 다이렉트개인용자동차보험(플랫폼) | 최종 보험료 | 1,080,490원 | 총 보험료 | 결제 1,401,350원 | 마일리지 환급 320,860원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,KB손해보험,"944,550","1,274,530","329,980","KB손해보험 | KB다이렉트(플랫폼)개인용자동차보험 | 최종 보험료 | 944,550원 | 총 보험료 | 결제 1,274,530원 | 마일리지 환급 329,980원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,롯데손해보험,"1,076,340","1,293,050","216,710","롯데손해보험 | let:click 개인용자동차보험(인터넷) | 최종 보험료 | 1,076,340원 | 총 보험료 | 결제 1,293,050원 | 마일리지 환급 216,710원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,메리츠화재,"915,970","1,321,940","405,970","메리츠화재 | 메리츠화재 다이렉트 자동차보험(CM) | 최종 보험료 | 915,970원 | 총 보험료 | 결제 1,321,940원 | 마일리지 환급 405,970원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,삼성화재,"1,039,520","1,265,300","225,780","삼성화재 | 개인용애니카다이렉트자동차보험(플랫폼) | 최종 보험료 | 1,039,520원 | 총 보험료 | 결제 1,265,300원 | 마일리지 환급 225,780원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,하나손해보험,"978,450","1,279,260","300,810","하나손해보험 | 하나 다이렉트 자동차보험 | 최종 보험료 | 978,450원 | 총 보험료 | 결제 1,279,260원 | 마일리지 환급 300,810원 | 마일리지 선할인 288,120원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,한화손보,"1,043,350","1,331,000","287,650","한화손보 | 캐롯 자동차보험 | 최종 보험료 | 1,043,350원 | 총 보험료 | 결제 1,331,000원 | 마일리지 환급 287,650원 | 월 납입 시 153,420원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,현대해상,"998,520","1,381,170","382,650","현대해상 | Hicar 다이렉트 개인용자동차보험(플랫폼) | 최종 보험료 | 998,520원 | 총 보험료 | 결제 1,381,170원 | 마일리지 환급 382,650원 | 바로 가입하기",,,,,,,,
3,2026-08-27 15:55:29,14로6902,2026-08-29,본인,흥국화재,"1,025,520","1,329,300","303,780","흥국화재 | 흥국다이렉트개인용자동차보험(CM) | 최종 보험료 | 1,025,520원 | 총 보험료 | 결제 1,329,300원 | 마일리지 환급 303,780원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,AXA,"1,244,160","1,800,460","556,300","AXA손해보험 | 다이렉트 자동차보험 | 최종 보험료 | 1,244,160원 | 총 보험료 | 결제 1,800,460원 | 마일리지 환급 556,300원 | 마일리지 선할인 546,570원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,DB손해보험,"1,080,490","1,401,350","320,860","DB손해보험 | 프로미카 다이렉트개인용자동차보험(플랫폼) | 최종 보험료 | 1,080,490원 | 총 보험료 | 결제 1,401,350원 | 마일리지 환급 320,860원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,KB손해보험,"944,550","1,274,530","329,980","KB손해보험 | KB다이렉트(플랫폼)개인용자동차보험 | 최종 보험료 | 944,550원 | 총 보험료 | 결제 1,274,530원 | 마일리지 환급 329,980원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,롯데손해보험,"1,076,340","1,293,050","216,710","롯데손해보험 | let:click 개인용자동차보험(인터넷) | 최종 보험료 | 1,076,340원 | 총 보험료 | 결제 1,293,050원 | 마일리지 환급 216,710원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,메리츠화재,"915,970","1,321,940","405,970","메리츠화재 | 메리츠화재 다이렉트 자동차보험(CM) | 최종 보험료 | 915,970원 | 총 보험료 | 결제 1,321,940원 | 마일리지 환급 405,970원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,삼성화재,"1,039,520","1,265,300","225,780","삼성화재 | 개인용애니카다이렉트자동차보험(플랫폼) | 최종 보험료 | 1,039,520원 | 총 보험료 | 결제 1,265,300원 | 마일리지 환급 225,780원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,하나손해보험,"978,450","1,279,260","300,810","하나손해보험 | 하나 다이렉트 자동차보험 | 최종 보험료 | 978,450원 | 총 보험료 | 결제 1,279,260원 | 마일리지 환급 300,810원 | 마일리지 선할인 288,120원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,한화손보,"1,043,350","1,331,000","287,650","한화손보 | 캐롯 자동차보험 | 최종 보험료 | 1,043,350원 | 총 보험료 | 결제 1,331,000원 | 마일리지 환급 287,650원 | 월 납입 시 153,420원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,현대해상,"998,520","1,381,170","382,650","현대해상 | Hicar 다이렉트 개인용자동차보험(플랫폼) | 최종 보험료 | 998,520원 | 총 보험료 | 결제 1,381,170원 | 마일리지 환급 382,650원 | 바로 가입하기",,,,,,,,
4,2026-08-27 15:56:26,14로6902,2026-08-30,본인,흥국화재,"1,025,520","1,329,300","303,780","흥국화재 | 흥국다이렉트개인용자동차보험(CM) | 최종 보험료 | 1,025,520원 | 총 보험료 | 결제 1,329,300원 | 마일리지 환급 303,780원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,AXA,"1,244,160","1,800,460","556,300","AXA손해보험 | 다이렉트 자동차보험 | 최종 보험료 | 1,244,160원 | 총 보험료 | 결제 1,800,460원 | 마일리지 환급 556,300원 | 마일리지 선할인 546,570원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,DB손해보험,"1,080,490","1,401,350","320,860","DB손해보험 | 프로미카 다이렉트개인용자동차보험(플랫폼) | 최종 보험료 | 1,080,490원 | 총 보험료 | 결제 1,401,350원 | 마일리지 환급 320,860원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,KB손해보험,"944,550","1,274,530","329,980","KB손해보험 | KB다이렉트(플랫폼)개인용자동차보험 | 최종 보험료 | 944,550원 | 총 보험료 | 결제 1,274,530원 | 마일리지 환급 329,980원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,롯데손해보험,"1,076,340","1,293,050","216,710","롯데손해보험 | let:click 개인용자동차보험(인터넷) | 최종 보험료 | 1,076,340원 | 총 보험료 | 결제 1,293,050원 | 마일리지 환급 216,710원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,메리츠화재,"915,970","1,321,940","405,970","메리츠화재 | 메리츠화재 다이렉트 자동차보험(CM) | 최종 보험료 | 915,970원 | 총 보험료 | 결제 1,321,940원 | 마일리지 환급 405,970원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,삼성화재,"1,041,960","1,268,260","226,300","삼성화재 | 개인용애니카다이렉트자동차보험(플랫폼) | 최종 보험료 | 1,041,960원 | 총 보험료 | 결제 1,268,260원 | 마일리지 환급 226,300원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,하나손해보험,"978,450","1,279,260","300,810","하나손해보험 | 하나 다이렉트 자동차보험 | 최종 보험료 | 978,450원 | 총 보험료 | 결제 1,279,260원 | 마일리지 환급 300,810원 | 마일리지 선할인 288,120원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,한화손보,"1,043,350","1,331,000","287,650","한화손보 | 캐롯 자동차보험 | 최종 보험료 | 1,043,350원 | 총 보험료 | 결제 1,331,000원 | 마일리지 환급 287,650원 | 월 납입 시 153,420원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,현대해상,"998,520","1,381,170","382,650","현대해상 | Hicar 다이렉트 개인용자동차보험(플랫폼) | 최종 보험료 | 998,520원 | 총 보험료 | 결제 1,381,170원 | 마일리지 환급 382,650원 | 바로 가입하기",,,,,,,,
1,2026-08-28 15:58:00,14로6902,2026-08-31,본인,흥국화재,"1,025,520","1,329,300","303,780","흥국화재 | 흥국다이렉트개인용자동차보험(CM) | 최종 보험료 | 1,025,520원 | 총 보험료 | 결제 1,329,300원 | 마일리지 환급 303,780원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,AXA,"1,254,350","1,815,250","560,900","AXA손해보험 | 다이렉트 자동차보험 | 최종 보험료 | 1,254,350원 | 총 보험료 | 결제 1,815,250원 | 마일리지 환급 560,900원 | 마일리지 선할인 551,090원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,DB손해보험,"1,080,490","1,401,350","320,860","DB손해보험 | 프로미카 다이렉트개인용자동차보험(플랫폼) | 최종 보험료 | 1,080,490원 | 총 보험료 | 결제 1,401,350원 | 마일리지 환급 320,860원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,KB손해보험,"947,280","1,278,210","330,930","KB손해보험 | KB다이렉트(플랫폼)개인용자동차보험 | 최종 보험료 | 947,280원 | 총 보험료 | 결제 1,278,210원 | 마일리지 환급 330,930원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,롯데손해보험,"1,091,420","1,311,210","219,790","롯데손해보험 | let:click 개인용자동차보험(인터넷) | 최종 보험료 | 1,091,420원 | 총 보험료 | 결제 1,311,210원 | 마일리지 환급 219,790원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,메리츠화재,"915,970","1,321,940","405,970","메리츠화재 | 메리츠화재 다이렉트 자동차보험(CM) | 최종 보험료 | 915,970원 | 총 보험료 | 결제 1,321,940원 | 마일리지 환급 405,970원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,삼성화재,"1,041,960","1,268,260","226,300","삼성화재 | 개인용애니카다이렉트자동차보험(플랫폼) | 최종 보험료 | 1,041,960원 | 총 보험료 | 결제 1,268,260원 | 마일리지 환급 226,300원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,하나손해보험,"978,450","1,279,260","300,810","하나손해보험 | 하나 다이렉트 자동차보험 | 최종 보험료 | 978,450원 | 총 보험료 | 결제 1,279,260원 | 마일리지 환급 300,810원 | 마일리지 선할인 288,120원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,한화손보,"1,043,350","1,331,000","287,650","한화손보 | 캐롯 자동차보험 | 최종 보험료 | 1,043,350원 | 총 보험료 | 결제 1,331,000원 | 마일리지 환급 287,650원 | 월 납입 시 153,420원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,현대해상,"998,520","1,381,170","382,650","현대해상 | Hicar 다이렉트 개인용자동차보험(플랫폼) | 최종 보험료 | 998,520원 | 총 보험료 | 결제 1,381,170원 | 마일리지 환급 382,650원 | 바로 가입하기",,,,,,,,
2,2026-08-28 15:58:43,14로6902,2026-09-01,본인,흥국화재,"971,690","1,292,750","321,060","흥국화재 | 흥국다이렉트개인용자동차보험(CM) | 최종 보험료 | 971,690원 | 총 보험료 | 결제 1,292,750원 | 마일리지 환급 321,060원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,AXA,"1,254,350","1,815,250","560,900","AXA손해보험 | 다이렉트 자동차보험 | 최종 보험료 | 1,254,350원 | 총 보험료 | 결제 1,815,250원 | 마일리지 환급 560,900원 | 마일리지 선할인 551,090원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,DB손해보험,"1,080,490","1,401,350","320,860","DB손해보험 | 프로미카 다이렉트개인용자동차보험(플랫폼) | 최종 보험료 | 1,080,490원 | 총 보험료 | 결제 1,401,350원 | 마일리지 환급 320,860원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,KB손해보험,"947,280","1,278,210","330,930","KB손해보험 | KB다이렉트(플랫폼)개인용자동차보험 | 최종 보험료 | 947,280원 | 총 보험료 | 결제 1,278,210원 | 마일리지 환급 330,930원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,롯데손해보험,"1,091,420","1,311,210","219,790","롯데손해보험 | let:click 개인용자동차보험(인터넷) | 최종 보험료 | 1,091,420원 | 총 보험료 | 결제 1,311,210원 | 마일리지 환급 219,790원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,메리츠화재,"915,970","1,321,940","405,970","메리츠화재 | 메리츠화재 다이렉트 자동차보험(CM) | 최종 보험료 | 915,970원 | 총 보험료 | 결제 1,321,940원 | 마일리지 환급 405,970원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,삼성화재,"1,041,960","1,268,260","226,300","삼성화재 | 개인용애니카다이렉트자동차보험(플랫폼) | 최종 보험료 | 1,041,960원 | 총 보험료 | 결제 1,268,260원 | 마일리지 환급 226,300원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,하나손해보험,"978,450","1,279,260","300,810","하나손해보험 | 하나 다이렉트 자동차보험 | 최종 보험료 | 978,450원 | 총 보험료 | 결제 1,279,260원 | 마일리지 환급 300,810원 | 마일리지 선할인 288,120원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,한화손보,"1,043,350","1,331,000","287,650","한화손보 | 캐롯 자동차보험 | 최종 보험료 | 1,043,350원 | 총 보험료 | 결제 1,331,000원 | 마일리지 환급 287,650원 | 월 납입 시 153,420원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,현대해상,"998,520","1,381,170","382,650","현대해상 | Hicar 다이렉트 개인용자동차보험(플랫폼) | 최종 보험료 | 998,520원 | 총 보험료 | 결제 1,381,170원 | 마일리지 환급 382,650원 | 바로 가입하기",,,,,,,,
7,2026-08-27 15:59:28,14로6902,2026-09-02,본인,흥국화재,"971,690","1,292,750","321,060","흥국화재 | 흥국다이렉트개인용자동차보험(CM) | 최종 보험료 | 971,690원 | 총 보험료 | 결제 1,292,750원 | 마일리지 환급 321,060원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,AXA,"1,254,350","1,815,250","560,900","AXA손해보험 | 다이렉트 자동차보험 | 최종 보험료 | 1,254,350원 | 총 보험료 | 결제 1,815,250원 | 마일리지 환급 560,900원 | 마일리지 선할인 551,090원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,DB손해보험,"1,080,490","1,401,350","320,860","DB손해보험 | 프로미카 다이렉트개인용자동차보험(플랫폼) | 최종 보험료 | 1,080,490원 | 총 보험료 | 결제 1,401,350원 | 마일리지 환급 320,860원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,KB손해보험,"947,280","1,278,210","330,930","KB손해보험 | KB다이렉트(플랫폼)개인용자동차보험 | 최종 보험료 | 947,280원 | 총 보험료 | 결제 1,278,210원 | 마일리지 환급 330,930원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,롯데손해보험,"1,091,420","1,311,210","219,790","롯데손해보험 | let:click 개인용자동차보험(인터넷) | 최종 보험료 | 1,091,420원 | 총 보험료 | 결제 1,311,210원 | 마일리지 환급 219,790원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,메리츠화재,"915,970","1,321,940","405,970","메리츠화재 | 메리츠화재 다이렉트 자동차보험(CM) | 최종 보험료 | 915,970원 | 총 보험료 | 결제 1,321,940원 | 마일리지 환급 405,970원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,삼성화재,"1,041,960","1,268,260","226,300","삼성화재 | 개인용애니카다이렉트자동차보험(플랫폼) | 최종 보험료 | 1,041,960원 | 총 보험료 | 결제 1,268,260원 | 마일리지 환급 226,300원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,하나손해보험,"978,450","1,279,260","300,810","하나손해보험 | 하나 다이렉트 자동차보험 | 최종 보험료 | 978,450원 | 총 보험료 | 결제 1,279,260원 | 마일리지 환급 300,810원 | 마일리지 선할인 288,120원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,한화손보,"1,043,350","1,331,000","287,650","한화손보 | 캐롯 자동차보험 | 최종 보험료 | 1,043,350원 | 총 보험료 | 결제 1,331,000원 | 마일리지 환급 287,650원 | 월 납입 시 153,420원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,현대해상,"971,960","1,344,320","372,360","현대해상 | Hicar 다이렉트 개인용자동차보험(플랫폼) | 최종 보험료 | 971,960원 | 총 보험료 | 결제 1,344,320원 | 마일리지 환급 372,360원 | 바로 가입하기",,,,,,,,
8,2026-08-27 16:00:29,14로6902,2026-09-03,본인,흥국화재,"971,690","1,292,750","321,060","흥국화재 | 흥국다이렉트개인용자동차보험(CM) | 최종 보험료 | 971,690원 | 총 보험료 | 결제 1,292,750원 | 마일리지 환급 321,060원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,AXA,"1,254,350","1,815,250","560,900","AXA손해보험 | 다이렉트 자동차보험 | 최종 보험료 | 1,254,350원 | 총 보험료 | 결제 1,815,250원 | 마일리지 환급 560,900원 | 마일리지 선할인 551,090원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,DB손해보험,"1,080,490","1,401,350","320,860","DB손해보험 | 프로미카 다이렉트개인용자동차보험(플랫폼) | 최종 보험료 | 1,080,490원 | 총 보험료 | 결제 1,401,350원 | 마일리지 환급 320,860원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,KB손해보험,"947,280","1,278,210","330,930","KB손해보험 | KB다이렉트(플랫폼)개인용자동차보험 | 최종 보험료 | 947,280원 | 총 보험료 | 결제 1,278,210원 | 마일리지 환급 330,930원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,롯데손해보험,"1,091,420","1,311,210","219,790","롯데손해보험 | let:click 개인용자동차보험(인터넷) | 최종 보험료 | 1,091,420원 | 총 보험료 | 결제 1,311,210원 | 마일리지 환급 219,790원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,메리츠화재,"915,970","1,321,940","405,970","메리츠화재 | 메리츠화재 다이렉트 자동차보험(CM) | 최종 보험료 | 915,970원 | 총 보험료 | 결제 1,321,940원 | 마일리지 환급 405,970원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,삼성화재,"1,041,960","1,268,260","226,300","삼성화재 | 개인용애니카다이렉트자동차보험(플랫폼) | 최종 보험료 | 1,041,960원 | 총 보험료 | 결제 1,268,260원 | 마일리지 환급 226,300원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,하나손해보험,"978,450","1,279,260","300,810","하나손해보험 | 하나 다이렉트 자동차보험 | 최종 보험료 | 978,450원 | 총 보험료 | 결제 1,279,260원 | 마일리지 환급 300,810원 | 마일리지 선할인 288,120원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,한화손보,"1,043,350","1,331,000","287,650","한화손보 | 캐롯 자동차보험 | 최종 보험료 | 1,043,350원 | 총 보험료 | 결제 1,331,000원 | 마일리지 환급 287,650원 | 월 납입 시 153,420원 | 바로 가입하기",,,,,,,,
9,2026-08-27 16:01:32,14로6902,2026-09-04,본인,현대해상,"971,960","1,344,320","372,360","현대해상 | Hicar 다이렉트 개인용자동차보험(플랫폼) | 최종 보험료 | 971,960원 | 총 보험료 | 결제 1,344,320원 | 마일리지 환급 372,360원 | 바로 가입하기",,,,,,,,
